tidak baku,baku
awale,awalnya
kemaren,kemarin
ngantri,antre
solnya,soalnya
setip,setiap
mlm,malam
sape,sampai
gejelas,tidak jelas
keubah,berubah
hp,handphone
dr,dari
peeihal,perihal
sampe,sampai
blm,belum
buat,untuk
poll,sangat
dlm,dalam
masak,masa
udh,sudah
dpt,dapat
masukkin,masukkan
tetep,tetap
heumm,
smpe,sampai
make,pakai
sy,saya
kek,bagaimana
kudu,harus
bis,bus
srng,sering
mkah,malah
dh,sudah
nlah,malah
njir,parah
samean,kalian
kabeh,semua
topp,bagus
pokoke,pokoknya
han mbuh,tidak tahu
najis,jelek
najiss,jelek
blok,bodoh
anjiirrrr,parah
anj,parah
dongkol,marah
jdnya,jadinya
dilakuin,dilakukan
bngt,banget
trs,terus
set1,setengah satu
plisss,tolong
plis,tolong
chekin,check in
wka,haha
d,di
gk,tidak
pokro,benar
tambahi,tambah
kalo,kalau
pake,pakai
bwt,buat
skg,sekarang
koq,kok
pisan,sekali
dgn,dengan
trs,terus
rebu,ribu
samai,sama
jeleg,jelek
jls,jelas
ush,usah
y,ya
n,dan
nyaa,nya
krn,karena
trs,terus
bnr,benar
pke,pakai
klo,kalau
prio,prioritas
buuat,buat
engga,tidak
sm,sama
make sense,masuk akal
healing,liburan
qo**a,asuransi
qobba,asuransi
qolta,asuransi
asu,jelek
fak,jelek
taekk,jelek
anjiang,jelek
ampas,jelek
bad,jelek
nggeh,ya
tenkyu,terima kasih
ndak,tidak
walhasil,akhirnya
selemit,selimut
macan,macam
ngeboong,bohong
et dah,
gx,tidak
mmng,memang
mantaf,mantap
keprosea,keproses
dzalim,zalim
nekan,menekan
spt,seperti
akaes,akses
caya,saya
emanggaplikasinya,memang aplikasinya
swring,sering
onlinen,online
smg,semarang
mndpt,mendapat
ktrlmbt,terlambat
slm,selama
mnt,menit
sdg,sedang
jdwl,jadwal
mslhx,masalahnya
tgs,tugas
klmtn,kalimantan
kmtn,kalimantan
sta,stasiun
krt,kereta
prjln,perjalanan
hub,hubungi
trsbg,tersebut
tlp,telepon
blg,bilang
mo,mau
cb,coba
bkn,bukan
tgg jwb,tanggung jawab
gmpg,gampang
ayolh,ayolah
pnp,penumpang
abisin,habiskan
kususnya,khususnya
qu,aku
trims,terima kasih
hickskenapa,kenapa
gilaran,giliran
ajh,saja
bgtu,begitu
govlog,bodoh
kemplung,bodoh
konyol,jelek
kircok,kiaracondong
shopi,shopee
buingiiiiddddzzzz,banget
ngidz,
asyulit,sulit
resechedul,reschedule
castemer,customer
lokat,loket
dellay,delay
bermgkt,berangkat
terencan,terencana
menyoba,mencoba
piye toh,bagaimana
ssmuaaa,semua
blkgan,belakangan
sblmnya,sebelumnya
gmn,bagaimana
mai,mau
ngotakk,masuk akal
emg,memang
yanhmg,yang
samsek,sama sekali
ge,juga
hak,tidak
mh,
mayan,lumayan
jiss,joss
nggam,tidak
g,tidak
atdah,
gajelas,tidak jelas
kasian,kasihan
tlol,bodoh
tolol,bodoh
anjir,
huft,
lah,
angus,hangus
tuk,untuk
biar,agar
jirr,jelek
ngawur,sembarangan
payahh,payah
mantab,mantap
jelass,jelas
ngelagnya,lag
ngebleng,error
ngeload,loading
ngeloading,loading
munyer,loading
stak,loading
stack,loading
qiris,qris
shopepay,shopeepay
kasproo,kaspro
mbaking,mobile banking
adm,admin
adminya,admin
resqedule,reschedule
deplover,developer
depolever,developer
apdate,update
upadate,update
instalana,install
pasword,sandi
pswd,sandi
sani,sandi
verivikasi,verifikasi
verif,verifikasi
serfer,server
sever,server
siatem,sistem
komptable,kompatibel
kompartible,kompatibel
ngeselin,menyebalkan
bikin,buat
dibikin,dibuat
pesen,pesan
mesen,pesan
pesenin,pesankan
mesanin,pesankan
batalin,batalkan
ngebatalin,membatalkan
nambah,tambah
nambahin,menambahkan
nunjukin,menunjukkan
nampilakn,menampilkan
ngilang,hilang
ilang,hilang
ilangin,hilangkan
ngurangin,mengurangi
nyari,cari
nanya,tanya
ngasih,memberi
pake,pakai
pakek,pakai
dikasih,diberi
dapet,dapat
dapetnya,dapatnya
dpet,dapat
ngerepotin,merepotkan
ngrepotin,merepotkan
nyusahin,menyusahkan
ngawur,sembarangan
ngaret,terlambat
ngewar,rebutan
babi,jelek
tokai,jelek
knt l,jelek
kuntull,jelek
kuntul,jelek
tai,jelek
taii,jelek
taik,jelek
bangkeee,jelek
bangkeeeeeeee,jelek
geblek,bodoh
dongo,bodoh
oon,bodoh
tllol,bodoh
tll,bodoh
bosokk,rusak
muluuu,terus
parahhhh,parah
anjirr,parah
anjeng,parah
biyaya,biaya
bontang,bintang
gembelll,jelek
ngapusi,bohong
ordal,orang dalam
rekning,rekening
tikat,tiket
tiker,tiket
hpeku,handphone saya
kocag,aneh
kocakk,aneh
gile,gila
gilak,gila
gilaa,gila
gilaaa,gila
bagusan,lebih bagus
pantesan,pantas
kenceng,kencang
brangkat,berangkat
brngkt,berangkat
naudzubillah,
nauzubillah,
hdeuhhh,
hadeuh,
haduh,
hmmmm,
wkwk,
wkwkwk,
wk,
hahaha,
pparah,parah
trus,terus
bla,
kga,tidak
kluar,keluar
ya,iya
